name		axev
lifespan  	2
health          3
type    	enemy
candamage       player npc
noquake		1
subject_to_hole	1
no_adjust_base	0
death		1
subject_to_platform 0
animationscript data/scripts/prscript.c
palette 	data/chars/demonknight/demonknight_palette.gif














anim	death
	loop	0
	delay	1
	offset	15 15
	spawnframe	0 15 0 0 0
	subentity	pdie
	frame	data/chars/demonknight/axe/axe1.gif
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	1
	delay	6
	offset	15 30
	hitfx	data/sounds/slash.wav
	attack2	0 0 29 30 19 0 0 0 0 0
	bbox	0 0 29 30
	sound	data/chars/misc/weap/axe1.wav
	frame	data/chars/demonknight/axe/axe1.gif
	@cmd	groundkill
	hitfx	data/sounds/slash.wav
	attack2	7 2 23 26 19 0 0 0 0 0
	frame	data/chars/demonknight/axe/axe2.gif
	@cmd	groundkill
	hitfx	data/sounds/slash.wav
	attack2	2 7 26 23 19 0 0 0 0 0
	frame	data/chars/demonknight/axe/axe3.gif
	@cmd	groundkill
	hitfx	data/sounds/slash.wav
	attack2	0 2 23 26 19 0 0 0 0 0
	frame	data/chars/demonknight/axe/axe4.gif
		
#|edited by openBor Stats v 0.67
		
