##MAIN
name				BarbonS
type				none

##MISC
antigravity			100

##SCRIPTS
ondrawscript		data/scripts/ondraw/channel.c

##REMAPS
remap				data/chars/barbon/idle00.gif data/chars/barbon/alter1.gif
remap				data/chars/barbon/idle00.gif data/chars/barbon/alter2.gif
remap				data/chars/barbon/idle00.gif data/chars/barbon/alter3.gif

##ANIMATIONS#############################################################################

anim freespecial3
	loop	0
	delay	1000
	offset	143 192
	frame	data/chars/barbon/stripclothes04.gif
	frame	data/chars/barbon/special00.gif
	frame	data/chars/barbon/special01.gif
	frame	data/chars/barbon/special02.gif
	frame	data/chars/barbon/special03.gif
	frame	data/chars/barbon/special04.gif
	frame	data/chars/barbon/special05.gif
	frame	data/chars/barbon/special06.gif
	frame	data/chars/barbon/special00.gif
	frame	data/chars/barbon/special01.gif
	frame	data/chars/barbon/special02.gif
	frame	data/chars/barbon/special03.gif
	frame	data/chars/barbon/special04.gif
	frame	data/chars/barbon/special05.gif
	frame	data/chars/barbon/special06.gif
	frame	data/chars/barbon/idle00.gif
	
anim follow7 #COUNTER
	loop	0
	delay	1000
	offset	143 192
	frame	data/chars/barbon/a200.gif
	frame	data/chars/barbon/a201.gif
	frame	data/chars/barbon/a202.gif
	frame	data/chars/barbon/a201.gif
