name			Rocket_Rescue #RESCUE SHIVA IN SOR3_ST1C
type			npc
health			1
nomove			1 1
gfxshadow		1 1
stealth			2
ondrawscript	data/scripts/ondraw/rocket_rescue.c
animationscript data/scripts/animation/default.c

anim idle #GRAB FLY
	loop	1
	delay	4
	offset	153 191
		seta 	40
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	42
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	44
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	46
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	48
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	46
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	44
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	42
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	40
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	38
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	36
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	34
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	32
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	34
	frame	data/chars/rocket/rocket/grab01.gif
		seta 	36
	frame	data/chars/rocket/rocket/grab00.gif
		seta 	38
	frame	data/chars/rocket/rocket/grab01.gif
